Target,VulnerabilityID,Package,InstalledVersion,FixedVersion,Severity,Title,PrimaryURL
Java,CVE-2025-48734,commons-beanutils:commons-beanutils,1.9.4,1.11.0,HIGH,commons-beanutils: Apache Commons BeanUtils: PropertyUtilsBean does not suppresses an enum's declaredClass property by default,https://avd.aquasec.com/nvd/cve-2025-48734
Java,CVE-2025-48976,commons-fileupload:commons-fileupload,1.5,1.6.0,HIGH,apache-commons-fileupload: Apache Commons FileUpload DoS via part headers,https://avd.aquasec.com/nvd/cve-2025-48976
Java,CVE-2025-55163,io.netty:netty-codec-http2,4.1.115.Final,"4.2.4.Final, 4.1.124.Final",HIGH,netty: netty-codec-http2: Netty MadeYouReset HTTP/2 DDoS Vulnerability,https://avd.aquasec.com/nvd/cve-2025-55163
Java,CVE-2025-24970,io.netty:netty-handler,4.1.115.Final,4.1.118.Final,HIGH,io.netty:netty-handler: SslHandler doesn't correctly validate packets which can lead to native crash when using native SSLEngine,https://avd.aquasec.com/nvd/cve-2025-24970
Java,CVE-2025-24970,io.netty:netty-handler,4.1.115.Final,4.1.118.Final,HIGH,io.netty:netty-handler: SslHandler doesn't correctly validate packets which can lead to native crash when using native SSLEngine,https://avd.aquasec.com/nvd/cve-2025-24970
Java,CVE-2025-12183,net.jpountz.lz4:lz4,1.3.0,N/A,HIGH,lz4-java: lz4-java: Out-of-bounds memory operations lead to denial of service and information disclosure,https://avd.aquasec.com/nvd/cve-2025-12183
Java,CVE-2025-66566,net.jpountz.lz4:lz4,1.3.0,N/A,HIGH,lz4-java: lz4-java: Information Disclosure via Insufficient Output Buffer Clearing,https://avd.aquasec.com/nvd/cve-2025-66566
Java,CVE-2024-57699,net.minidev:json-smart,2.5.0,2.5.2,HIGH,json-smart: Potential DoS via stack exhaustion (incomplete fix for CVE-2023-1370),https://avd.aquasec.com/nvd/cve-2024-57699
Java,CVE-2025-27820,org.apache.httpcomponents.client5:httpclient5,5.4,5.4.3,HIGH,org.apache.httpcomponents.client5/httpclient5: Apache HttpComponents: PSL (Public Suffix List) validation bypass,https://avd.aquasec.com/nvd/cve-2025-27820
Java,CVE-2025-24813,org.apache.tomcat.embed:tomcat-embed-core,9.0.90,"11.0.3, 10.1.35, 9.0.99",CRITICAL,tomcat: Potential RCE and/or information disclosure and/or information corruption with partial PUT,https://avd.aquasec.com/nvd/cve-2025-24813
Java,CVE-2024-50379,org.apache.tomcat.embed:tomcat-embed-core,9.0.90,"11.0.2, 10.1.34, 9.0.98",HIGH,tomcat: RCE due to TOCTOU issue in JSP compilation,https://avd.aquasec.com/nvd/cve-2024-50379
Java,CVE-2024-56337,org.apache.tomcat.embed:tomcat-embed-core,9.0.90,"11.0.2, 10.1.34, 9.0.98",HIGH,tomcat: Incomplete fix for CVE-2024-50379 - RCE due to TOCTOU issue in JSP compilation,https://avd.aquasec.com/nvd/cve-2024-56337
Java,CVE-2025-48988,org.apache.tomcat.embed:tomcat-embed-core,9.0.90,"11.0.8, 10.1.42, 9.0.106",HIGH,tomcat: Apache Tomcat DoS in multipart upload,https://avd.aquasec.com/nvd/cve-2025-48988
Java,CVE-2025-48989,org.apache.tomcat.embed:tomcat-embed-core,9.0.90,"11.0.10, 10.1.44, 9.0.108",HIGH,"tomcat: http/2 ""MadeYouReset"" DoS attack through HTTP/2 control frames",https://avd.aquasec.com/nvd/cve-2025-48989
Java,CVE-2025-55752,org.apache.tomcat.embed:tomcat-embed-core,9.0.90,"11.0.11, 10.1.45, 9.0.109",HIGH,tomcat: org.apache.tomcat/tomcat-catalina: Apache Tomcat: Directory traversal via rewrite with possible RCE,https://avd.aquasec.com/nvd/cve-2025-55752
Java,CVE-2025-5115,org.eclipse.jetty.http2:http2-common,10.0.20,"9.4.58, 10.0.26, 11.0.26",HIGH,"jetty: HTTP/2 (including DNS over HTTPS) contains a design flaw and is vulnerable to ""MadeYouReset"" DoS attack through HTTP/2 control frames",https://avd.aquasec.com/nvd/cve-2025-5115
Java,CVE-2025-12183,org.lz4:lz4-java,1.8.0,1.8.1,HIGH,lz4-java: lz4-java: Out-of-bounds memory operations lead to denial of service and information disclosure,https://avd.aquasec.com/nvd/cve-2025-12183
Java,CVE-2025-12183,org.lz4:lz4-java,1.8.0,1.8.1,HIGH,lz4-java: lz4-java: Out-of-bounds memory operations lead to denial of service and information disclosure,https://avd.aquasec.com/nvd/cve-2025-12183
Java,CVE-2025-66566,org.lz4:lz4-java,1.8.0,N/A,HIGH,lz4-java: lz4-java: Information Disclosure via Insufficient Output Buffer Clearing,https://avd.aquasec.com/nvd/cve-2025-66566
Java,CVE-2025-66566,org.lz4:lz4-java,1.8.0,N/A,HIGH,lz4-java: lz4-java: Information Disclosure via Insufficient Output Buffer Clearing,https://avd.aquasec.com/nvd/cve-2025-66566
Java,CVE-2025-22235,org.springframework.boot:spring-boot,2.7.18,"3.3.11, 3.4.5",HIGH,org.springframework.boot/spring-boot: Spring Boot EndpointRequest.to() creates wrong matcher if actuator endpoint is not exposed,https://avd.aquasec.com/nvd/cve-2025-22235
Java,CVE-2025-22228,org.springframework.security:spring-security-crypto,5.8.16,"6.3.8, 6.4.4, 6.2.10, 6.1.14, 6.0.16, 5.8.18, 5.7.16",HIGH,spring-security-core: Spring Security BCryptPasswordEncoder does not enforce maximum password length,https://avd.aquasec.com/nvd/cve-2025-22228
Java,CVE-2025-41249,org.springframework:spring-core,5.3.39,6.2.11,HIGH,org.springframework/spring-core: Spring Framework Annotation Detection Vulnerability,https://avd.aquasec.com/nvd/cve-2025-41249
Java,CVE-2024-38816,org.springframework:spring-webmvc,5.3.39,6.1.13,HIGH,spring-webmvc: Path Traversal Vulnerability in Spring Applications Using RouterFunctions and FileSystemResource,https://avd.aquasec.com/nvd/cve-2024-38816
